weekly_studytime,failures,extra_edu_supp,family_edu_supp,Interested_in_higher_edu,internet_access,freetime_after_school,goout_with_friends,absences,G1,G2,G3
2,0,yes,no,yes,no,3,4,6,5,6,6
2,0,no,yes,yes,yes,3,3,4,5,5,6
2,3,yes,no,yes,yes,3,2,10,7,8,10
3,0,no,yes,yes,yes,2,2,2,15,14,15
2,0,no,yes,yes,no,3,2,4,6,10,10
2,0,no,yes,yes,yes,4,2,10,15,15,15
2,0,no,no,yes,yes,4,4,0,12,12,11
2,0,yes,yes,yes,no,1,4,6,6,5,6
2,0,no,yes,yes,yes,2,2,0,16,18,19
2,0,no,yes,yes,yes,5,1,0,14,15,15
2,0,no,yes,yes,yes,3,3,0,10,8,9
3,0,no,yes,yes,yes,2,2,4,10,12,12
1,0,no,yes,yes,yes,3,3,2,14,14,14
2,0,no,yes,yes,yes,4,3,2,10,10,11
3,0,no,yes,yes,yes,5,2,0,14,16,16
1,0,no,yes,yes,yes,4,4,4,14,14,14
3,0,no,yes,yes,yes,2,3,6,13,14,14
2,0,yes,yes,yes,no,3,2,4,8,10,10
1,3,no,yes,yes,yes,5,5,16,6,5,5
1,0,no,no,yes,yes,1,3,4,8,10,10
2,0,no,no,yes,yes,4,1,0,13,14,15
1,0,no,yes,yes,yes,4,2,0,12,15,15
2,0,no,no,yes,yes,5,1,2,15,15,16
2,0,no,yes,yes,yes,4,4,0,13,13,12
3,0,yes,yes,yes,yes,3,2,2,10,9,8
1,2,no,yes,yes,yes,2,2,14,6,9,8
1,0,no,yes,yes,yes,2,2,2,12,12,11
1,0,no,no,yes,yes,2,4,4,15,16,15
2,0,yes,yes,yes,yes,3,3,4,11,11,11
2,0,no,yes,yes,yes,4,5,16,10,12,11
2,0,no,yes,yes,yes,4,2,0,9,11,12
2,0,no,yes,yes,yes,3,1,0,17,16,17
2,0,no,yes,yes,yes,5,2,0,17,16,16
2,0,no,no,yes,yes,3,2,0,8,10,12
1,0,no,yes,yes,yes,4,3,0,12,14,15
1,0,no,yes,yes,no,5,1,0,8,7,6
3,0,no,yes,yes,yes,4,3,2,15,16,18
3,0,no,yes,yes,yes,4,3,7,15,16,15
3,0,yes,yes,yes,yes,3,2,2,12,12,11
1,0,yes,yes,yes,no,3,1,8,14,13,13
2,1,no,yes,yes,yes,3,3,25,7,10,11
1,0,no,yes,yes,yes,4,3,8,12,12,12
2,0,no,yes,yes,yes,3,3,2,19,18,18
1,0,yes,yes,yes,yes,4,1,0,8,8,11
2,1,yes,no,yes,yes,3,3,14,10,10,9
2,0,yes,yes,yes,yes,2,2,8,8,8,6
2,0,no,yes,yes,yes,3,5,12,11,12,11
4,0,no,no,yes,yes,2,2,4,19,19,20
2,0,no,yes,yes,no,3,3,2,15,15,14
2,1,yes,yes,yes,yes,4,4,2,7,7,7
2,0,no,yes,yes,yes,3,3,2,12,13,13
2,0,no,yes,yes,yes,3,3,2,11,13,13
1,1,no,no,yes,no,5,5,6,11,11,10
1,0,yes,yes,yes,yes,3,4,0,8,10,11
1,0,no,no,yes,yes,3,4,6,10,13,13
2,0,no,no,yes,yes,3,4,8,8,9,10
2,0,no,yes,yes,yes,3,2,0,14,15,15
2,0,no,yes,yes,no,2,2,4,14,15,15
2,0,yes,yes,yes,yes,3,2,2,9,10,9
2,0,no,yes,yes,yes,2,3,2,15,16,16
2,0,no,yes,yes,no,4,4,6,10,11,11
1,0,yes,yes,yes,yes,5,5,6,10,8,11
2,0,yes,no,yes,yes,4,3,4,8,10,9
3,0,yes,yes,yes,yes,4,4,2,10,9,9
2,0,yes,no,yes,yes,4,4,0,10,10,10
2,0,no,yes,yes,yes,4,3,2,16,15,15
4,0,no,yes,yes,yes,3,3,4,13,13,12
4,0,yes,yes,yes,yes,3,3,4,7,7,6
2,0,yes,yes,yes,yes,1,3,2,8,9,8
4,0,no,yes,yes,yes,4,2,12,16,16,16
4,0,no,yes,yes,yes,3,2,0,13,15,15
4,0,no,no,yes,yes,3,3,0,10,10,10
2,2,yes,yes,yes,yes,3,4,2,8,6,5
1,0,no,no,yes,no,3,2,2,12,12,14
2,0,yes,yes,yes,yes,3,3,54,11,12,11
2,0,no,yes,yes,yes,3,3,6,9,9,10
4,0,no,no,yes,yes,4,3,8,11,11,10
4,0,no,no,yes,yes,2,3,0,11,11,11
1,3,yes,yes,no,yes,5,1,2,8,8,10
2,0,no,yes,yes,yes,4,3,12,5,5,5
1,0,yes,yes,yes,yes,2,2,2,10,12,12
3,0,yes,no,yes,yes,3,2,4,11,10,11
2,0,no,yes,yes,yes,4,4,10,7,6,6
2,0,no,no,yes,yes,3,3,4,15,15,15
2,0,no,yes,yes,yes,3,2,2,9,10,10
2,2,no,no,yes,yes,4,4,6,7,9,8
2,0,no,yes,yes,no,3,4,4,8,7,6
3,0,no,yes,yes,yes,3,3,4,13,14,14
2,1,no,no,yes,yes,4,2,12,11,10,10
2,0,no,yes,yes,no,1,3,18,8,6,7
3,0,no,yes,yes,yes,3,3,0,7,7,8
1,0,no,no,yes,yes,5,5,4,16,17,18
2,0,yes,yes,yes,no,3,3,4,7,6,6
2,0,no,yes,yes,yes,3,3,0,11,10,10
4,0,no,yes,yes,yes,3,4,6,11,13,14
4,1,yes,yes,yes,yes,1,2,2,7,10,10
1,0,yes,yes,yes,yes,3,3,2,11,15,15
2,0,no,yes,yes,no,3,5,2,8,9,10
1,0,no,no,yes,yes,3,4,6,11,14,14
3,0,yes,yes,yes,yes,3,5,0,7,9,8
1,0,yes,yes,yes,yes,5,5,14,7,7,5
3,0,no,yes,yes,yes,4,3,0,16,17,17
1,0,no,yes,yes,yes,3,3,4,10,13,14
2,0,yes,yes,yes,yes,3,5,26,7,6,6
2,0,no,yes,yes,yes,4,4,0,16,18,18
4,0,yes,no,yes,no,3,3,10,10,11,11
4,0,yes,yes,yes,yes,1,2,8,7,8,8
3,0,no,yes,yes,yes,3,3,2,16,18,18
4,0,no,yes,yes,yes,3,5,6,10,13,13
3,0,no,yes,yes,yes,4,5,4,14,15,16
1,0,no,no,yes,yes,5,3,6,18,19,19
3,1,yes,yes,yes,yes,1,2,0,7,10,10
2,1,yes,no,yes,yes,1,2,6,10,13,13
1,0,no,no,yes,yes,5,2,10,18,19,19
2,0,no,no,yes,yes,4,2,8,9,9,9
2,0,no,yes,yes,yes,4,4,2,15,15,16
2,0,no,yes,yes,no,4,3,2,11,13,14
1,0,no,no,yes,yes,4,2,0,13,14,13
2,1,no,yes,yes,yes,2,4,20,9,7,8
1,0,no,no,yes,yes,4,3,6,14,13,13
2,0,no,no,yes,yes,2,3,2,16,15,15
4,0,no,yes,yes,yes,5,4,6,16,14,15
2,0,no,yes,yes,yes,2,2,2,13,13,13
1,0,no,yes,yes,yes,4,4,18,14,11,13
2,0,no,no,yes,yes,4,4,0,8,7,8
1,0,yes,no,yes,yes,5,5,0,13,13,12
2,0,yes,no,yes,yes,3,2,0,7,10,11
2,3,no,yes,no,no,4,2,2,7,8,9
1,2,no,yes,yes,yes,3,3,0,7,4,0
1,0,no,no,yes,yes,5,5,8,18,18,18
3,2,no,yes,yes,yes,2,2,0,12,0,0
1,0,no,yes,yes,yes,3,3,0,8,0,0
1,0,no,yes,yes,yes,4,4,12,10,13,12
1,0,no,no,yes,yes,2,1,16,12,11,11
2,0,no,yes,yes,no,3,3,0,9,0,0
3,0,no,yes,yes,yes,3,3,0,11,0,0
2,0,no,no,yes,no,4,5,0,10,0,0
1,2,no,yes,yes,yes,3,2,0,4,0,0
2,1,no,no,yes,no,4,4,0,14,12,12
1,0,no,no,yes,yes,3,2,0,16,16,15
4,0,yes,yes,yes,yes,2,2,0,7,9,0
1,2,no,yes,yes,yes,3,3,8,9,9,9
3,0,no,yes,yes,yes,2,2,2,9,11,11
1,0,no,no,yes,yes,4,4,2,14,14,13
1,3,no,yes,yes,yes,4,5,0,5,0,0
2,0,no,yes,yes,yes,4,2,0,8,11,11
2,3,no,yes,yes,yes,3,2,0,6,7,0
2,0,no,yes,yes,yes,3,2,2,10,11,11
1,0,no,yes,no,yes,3,2,0,7,6,0
1,3,no,no,yes,yes,5,5,0,8,9,10
1,3,no,no,no,yes,3,5,0,6,5,0
1,1,no,no,yes,no,4,4,6,12,13,14
3,2,no,yes,yes,yes,2,1,8,10,10,10
1,3,no,yes,no,yes,5,4,0,5,0,0
1,0,yes,yes,yes,no,2,1,0,11,11,12
2,0,yes,no,yes,no,4,4,2,11,8,8
1,0,no,no,yes,no,2,2,8,16,12,13
1,3,no,yes,yes,no,2,5,6,9,8,10
1,0,no,no,yes,no,2,2,2,17,15,15
2,1,no,yes,yes,yes,5,5,4,10,12,12
1,2,no,no,no,yes,3,2,0,7,6,0
2,2,yes,yes,yes,yes,4,4,6,5,9,7
1,1,no,no,yes,no,4,4,0,7,0,0
1,0,no,no,no,yes,3,3,2,10,10,10
2,3,no,no,no,no,3,5,0,5,8,7
1,1,no,yes,no,no,5,2,16,12,11,12
2,0,no,no,no,yes,3,5,4,10,10,10
2,0,no,no,yes,yes,2,3,0,14,15,16
2,0,no,yes,yes,yes,1,5,0,6,7,0
2,0,no,yes,yes,yes,4,2,0,14,14,14
1,2,no,yes,yes,yes,4,5,0,6,5,0
2,0,no,yes,yes,yes,3,2,2,13,15,16
2,0,no,yes,yes,yes,4,4,0,13,11,10
2,3,no,no,yes,yes,3,5,0,8,7,0
2,0,no,yes,yes,yes,4,5,4,10,11,9
2,0,no,no,yes,yes,4,4,4,10,9,9
2,0,no,no,yes,yes,4,4,2,13,13,11
2,0,no,no,yes,yes,3,4,4,6,5,6
1,0,no,yes,yes,yes,3,3,10,10,8,9
2,0,no,yes,yes,yes,2,3,4,10,10,11
2,0,no,yes,yes,yes,4,3,10,9,8,8
2,0,no,no,yes,yes,2,3,2,12,13,12
2,0,no,yes,yes,no,4,2,0,16,17,17
2,0,no,yes,yes,yes,3,3,56,9,9,8
2,0,no,yes,yes,yes,2,2,14,12,13,12
2,0,no,yes,yes,yes,3,4,12,12,12,11
1,0,no,yes,yes,yes,3,3,2,11,12,11
2,0,no,no,yes,yes,2,3,0,15,15,15
2,0,no,yes,yes,yes,3,3,6,8,7,9
2,0,no,no,yes,no,1,3,4,8,9,10
2,0,no,no,yes,yes,3,3,10,11,12,13
2,0,no,no,yes,yes,3,3,0,8,8,9
2,0,no,no,yes,yes,4,4,12,7,8,8
1,0,no,yes,yes,yes,3,2,8,8,9,10
1,0,no,no,yes,yes,3,3,0,13,14,14
2,0,no,no,yes,yes,3,2,0,14,15,15
1,0,no,no,yes,yes,2,3,4,17,15,16
1,0,no,yes,yes,yes,3,4,8,9,9,10
1,1,no,yes,yes,yes,2,4,24,18,18,18
2,0,no,yes,yes,yes,5,2,0,9,9,10
2,0,no,yes,yes,yes,3,5,2,16,16,16
2,0,yes,yes,yes,no,4,3,6,8,10,10
2,0,no,yes,yes,no,4,4,4,9,9,10
1,0,no,yes,yes,yes,3,2,18,7,6,6
4,0,no,yes,yes,yes,3,5,6,10,10,11
3,1,no,yes,yes,yes,4,3,28,10,9,9
2,3,no,yes,yes,yes,3,3,5,7,7,7
2,0,no,no,yes,yes,3,2,10,11,12,13
1,0,no,yes,yes,no,3,2,6,9,9,10
3,0,no,yes,yes,yes,4,2,6,7,7,7
4,0,no,yes,yes,yes,3,3,10,8,8,8
2,0,no,yes,yes,yes,3,5,13,12,12,13
2,0,yes,yes,yes,yes,3,4,0,12,13,14
2,1,no,yes,yes,yes,4,4,15,6,7,8
1,0,no,yes,yes,no,2,1,12,8,10,10
2,0,no,no,yes,yes,4,4,2,14,15,15
2,2,no,no,yes,yes,4,5,22,6,6,4
2,1,no,yes,yes,yes,2,4,13,6,6,8
1,0,no,yes,yes,no,3,3,3,7,7,8
3,0,no,yes,yes,yes,3,3,4,9,10,10
2,0,no,yes,yes,yes,2,5,2,6,6,6
3,1,no,yes,yes,no,3,4,0,6,5,0
2,0,yes,no,yes,yes,3,1,2,16,16,17
2,0,no,yes,yes,yes,3,3,0,12,13,13
3,0,no,yes,yes,yes,3,2,0,13,13,14
2,1,no,no,yes,yes,3,3,16,9,8,7
2,0,no,no,yes,yes,3,4,10,16,15,15
2,0,no,yes,yes,yes,3,3,2,12,11,12
2,0,yes,yes,yes,yes,3,2,14,10,8,9
3,0,no,no,yes,yes,2,3,10,12,10,12
2,0,no,no,yes,yes,2,3,14,13,13,14
2,0,no,yes,yes,yes,5,2,4,11,11,11
2,0,yes,yes,yes,yes,5,5,14,11,9,9
2,0,no,yes,yes,yes,2,4,2,14,13,13
2,0,no,yes,yes,yes,4,2,18,9,7,6
3,0,no,no,yes,yes,3,3,10,11,9,10
2,0,no,no,yes,yes,4,2,4,14,13,13
1,0,no,no,yes,yes,5,2,20,13,12,12
2,0,no,no,yes,no,1,1,2,13,11,11
2,1,no,no,no,yes,5,4,0,7,7,0
2,0,no,no,yes,yes,5,5,14,12,12,12
2,0,no,yes,yes,yes,3,3,2,10,11,12
1,0,no,no,yes,yes,4,5,0,6,0,0
1,0,no,no,yes,yes,3,2,0,13,12,12
3,0,no,yes,yes,yes,4,4,0,7,0,0
1,0,no,no,yes,yes,3,3,6,18,18,18
1,0,no,no,yes,yes,2,2,4,12,12,13
1,3,no,no,no,yes,4,5,16,6,8,8
2,1,no,yes,yes,yes,3,3,8,3,5,5
1,0,no,no,yes,yes,3,2,0,13,15,15
1,1,no,no,no,yes,4,5,0,6,8,8
2,0,yes,yes,yes,yes,3,3,6,7,10,10
1,1,no,no,no,yes,2,5,4,6,9,8
1,0,no,no,yes,no,3,2,0,8,9,8
1,0,no,no,yes,yes,4,2,0,8,12,12
1,1,no,yes,yes,yes,4,4,2,7,9,8
4,0,no,yes,yes,yes,2,3,6,14,12,13
2,0,no,yes,yes,yes,3,1,12,11,11,11
2,0,no,no,yes,yes,2,4,8,15,14,14
4,0,no,no,yes,yes,4,1,0,10,9,0
2,0,no,yes,yes,yes,1,2,21,17,18,18
2,0,no,yes,yes,yes,3,2,2,8,8,8
3,0,no,no,yes,no,3,2,1,13,12,12
3,0,no,no,yes,no,2,3,4,10,9,9
3,0,no,yes,yes,yes,3,3,0,9,10,0
2,0,no,yes,yes,yes,2,5,13,17,17,17
2,0,no,no,yes,yes,4,4,2,9,9,10
2,0,no,no,yes,yes,3,4,8,12,10,11
2,0,no,yes,yes,yes,4,5,10,10,9,10
2,0,no,yes,no,yes,3,5,0,6,0,0
2,2,no,yes,yes,yes,3,5,15,9,9,9
4,0,no,yes,yes,yes,5,5,4,15,14,14
2,0,no,yes,yes,no,4,3,2,11,11,11
2,0,no,yes,yes,no,5,2,2,15,14,14
2,0,no,yes,yes,yes,3,3,2,10,10,10
2,0,yes,yes,yes,yes,4,4,6,12,12,12
2,0,no,no,no,yes,1,1,75,10,9,9
1,0,no,no,yes,yes,2,4,22,9,9,9
2,1,yes,yes,yes,yes,4,4,15,9,8,8
1,0,no,no,yes,yes,2,3,8,10,11,10
1,0,no,no,yes,yes,5,4,30,8,8,8
1,1,no,no,yes,yes,4,4,19,11,9,10
4,0,no,yes,yes,no,2,2,1,12,12,12
2,0,yes,no,yes,yes,4,4,4,8,9,10
2,0,no,yes,yes,yes,4,5,4,10,9,11
2,0,no,no,yes,yes,3,3,2,12,10,11
3,0,no,yes,yes,yes,3,3,5,18,18,19
3,0,no,yes,yes,yes,3,3,6,13,12,12
3,0,no,no,yes,yes,2,4,6,15,14,14
2,0,no,yes,yes,yes,4,3,9,15,13,15
2,0,no,yes,yes,yes,3,2,11,12,11,11
3,0,no,yes,yes,yes,2,2,0,15,15,15
2,1,no,no,yes,yes,4,3,12,12,12,13
4,0,no,yes,yes,no,1,2,6,18,18,18
3,0,no,yes,yes,yes,4,2,8,14,13,14
1,0,no,yes,yes,yes,4,3,4,14,12,11
2,0,no,yes,yes,yes,3,4,0,10,9,0
2,0,no,yes,yes,yes,4,5,10,10,8,8
4,0,no,yes,yes,yes,3,3,0,14,13,14
1,0,no,yes,yes,yes,4,2,5,16,15,16
2,0,no,yes,yes,yes,2,4,14,12,10,11
1,0,no,no,yes,yes,1,1,0,11,11,10
3,0,no,yes,yes,yes,3,3,0,15,12,14
4,0,no,yes,yes,yes,2,2,0,17,17,18
2,1,no,yes,yes,yes,4,4,20,15,14,13
2,1,no,yes,yes,yes,4,3,8,14,12,12
1,0,no,no,yes,no,5,3,0,17,18,18
1,1,no,yes,yes,yes,3,4,38,8,9,8
2,1,no,no,yes,no,5,3,0,15,12,12
2,1,yes,yes,yes,yes,4,3,18,12,10,10
2,1,no,no,yes,no,2,4,0,9,9,0
2,0,no,yes,no,yes,4,1,20,14,12,13
2,1,no,no,yes,yes,5,2,3,13,11,11
2,1,no,yes,yes,yes,2,2,22,13,10,11
3,2,no,no,yes,yes,1,2,14,15,13,13
3,1,no,no,yes,yes,1,2,40,13,11,11
2,0,no,yes,yes,yes,3,3,0,8,8,0
3,0,no,yes,yes,yes,3,4,9,9,10,9
3,0,no,yes,yes,yes,3,4,0,11,11,10
2,0,no,yes,yes,yes,4,4,2,11,11,11
2,0,no,yes,yes,yes,2,2,23,13,13,13
2,0,no,yes,yes,no,2,2,12,11,9,9
3,0,no,yes,yes,yes,3,2,3,11,11,11
3,0,no,yes,yes,yes,4,3,1,12,14,15
3,0,no,no,yes,yes,3,3,0,16,15,15
3,0,no,no,yes,yes,3,3,3,9,12,11
1,0,no,no,yes,yes,3,5,3,14,15,16
1,0,no,yes,yes,yes,4,5,8,11,10,10
3,0,no,yes,yes,yes,4,4,7,10,9,9
3,0,no,yes,yes,yes,3,3,4,14,14,14
4,0,no,yes,yes,yes,5,5,2,9,8,8
3,0,no,yes,yes,yes,4,3,7,12,14,14
2,0,no,no,yes,yes,3,4,0,7,0,0
2,0,no,no,yes,yes,3,3,0,8,8,0
4,0,no,no,yes,no,4,4,0,10,9,0
3,0,no,no,yes,yes,4,5,16,16,15,15
3,1,no,no,yes,no,4,3,12,14,13,13
2,0,no,yes,yes,yes,3,2,0,7,8,0
4,0,no,yes,yes,yes,3,3,7,16,15,17
2,0,no,yes,yes,yes,3,3,4,9,10,10
3,1,no,no,yes,yes,3,4,4,11,12,11
2,1,no,yes,yes,yes,3,3,0,10,10,0
2,0,no,no,yes,yes,3,3,11,16,15,15
2,1,no,yes,yes,yes,3,1,0,9,8,0
3,0,no,yes,yes,yes,3,3,4,11,10,10
3,0,no,no,yes,yes,4,3,7,13,13,14
3,0,no,no,yes,yes,3,2,9,16,15,16
3,0,no,yes,yes,yes,4,5,0,10,10,9
3,0,no,yes,yes,yes,4,3,0,13,15,15
1,1,no,yes,yes,yes,5,5,10,11,13,13
2,3,no,no,yes,yes,4,4,8,8,7,8
2,0,no,yes,yes,yes,5,4,2,13,13,13
1,1,no,no,no,yes,3,3,7,8,7,8
1,1,no,yes,yes,yes,4,4,4,8,8,8
2,0,no,yes,yes,yes,5,5,4,13,11,11
2,0,no,yes,yes,no,3,4,0,10,9,9
2,0,no,yes,yes,yes,3,3,4,12,13,13
2,0,no,no,yes,no,2,3,2,12,12,11
1,0,no,no,yes,yes,3,2,4,10,10,10
3,0,no,no,yes,yes,3,2,0,18,16,16
2,0,no,no,yes,no,3,4,0,13,13,13
2,1,no,no,no,no,4,3,2,13,12,12
2,0,no,yes,yes,yes,3,2,0,11,11,10
2,0,no,yes,yes,yes,3,4,0,16,15,15
2,0,no,no,yes,no,2,2,0,12,11,12
2,0,no,yes,yes,no,3,4,4,10,10,10
3,0,no,no,yes,yes,2,2,0,13,13,13
1,1,no,yes,yes,yes,2,1,0,7,6,0
1,0,no,yes,yes,yes,2,3,0,11,10,10
2,0,no,yes,yes,yes,2,2,10,14,12,11
2,2,no,no,yes,no,2,2,4,7,7,9
1,0,no,yes,no,yes,3,3,3,14,12,12
3,0,no,no,yes,no,4,3,8,13,11,11
1,0,no,no,yes,yes,5,5,14,6,5,5
3,0,no,no,yes,yes,4,4,0,19,18,19
3,0,no,no,yes,yes,3,2,2,8,8,10
3,2,no,yes,yes,yes,4,3,4,15,14,15
2,0,no,no,yes,yes,4,3,4,8,9,10
2,0,no,no,yes,yes,1,3,0,15,15,15
2,0,no,yes,yes,yes,5,4,17,10,10,10
2,0,no,no,yes,yes,2,4,4,15,14,14
1,0,no,no,yes,yes,4,3,5,7,6,7
2,0,no,no,yes,yes,4,3,2,11,11,10
1,1,no,no,yes,no,3,2,0,6,5,0
1,1,no,no,yes,no,4,3,14,6,5,5
3,0,no,no,yes,no,3,3,2,10,9,10
1,0,no,yes,yes,yes,4,3,7,6,5,6
3,1,no,no,yes,yes,4,2,0,7,5,0
2,0,no,yes,yes,yes,3,4,0,7,9,8
2,1,no,no,yes,no,1,1,0,6,5,0
2,2,no,yes,yes,no,5,4,11,9,9,9
1,0,no,no,yes,yes,4,5,3,14,16,16
1,3,no,no,yes,no,5,3,3,10,8,7
1,0,no,no,yes,yes,4,1,0,11,12,10
1,0,no,no,yes,yes,2,3,5,8,9,9
